소분류,세부분류,업체명,주소,전화번호,사업자등록일,업데이트일,정제주소
일반음식점,기타,툴롱,"인천광역시 중구 월미로 33, 상상플랫폼 (북성동1가) ",111-1111-1111,2025-07-11,2025-07-13 04:11:55,인천광역시 중구 월미로 33 상상플랫폼 (북성동1가)
일반음식점,분식,삼형제김밥 운서역점,"인천광역시 중구 신도시남로142번길 17, 101호 (운서동) ", ,2025-07-11,2025-07-13 04:11:54,인천광역시 중구 신도시남로142번길 17/101호 (운서동)
일반음식점,기타,동양가배관,"인천광역시 중구 월미로 33, 상상플랫폼 (북성동1가) ", ,2025-07-11,2025-07-13 04:11:54,인천광역시 중구 월미로 33 상상플랫폼 (북성동1가)
일반음식점,기타,웰빙카페,"인천광역시 중구 연안부두로53번길 2, 4층 (항동7가) ", ,2025-07-11,2025-07-13 04:11:54,인천광역시 중구 연안부두로53번길 2/4층 (항동7가)
일반음식점,기타,티엘로스터리(TL ROASTERY),"인천광역시 부평구 동수로 36, 상가3동 204, 205, 206, 207호 (부평동, 부평역해링턴플레이스) ", ,2025-07-11,2025-07-13 04:11:54,인천광역시 부평구 동수로 36 상가3동 204/205/206/207호 (부평동 부평역해링턴플레이스)
일반음식점,분식,청년다방 부평부개점,"인천광역시 부평구 길주남로101번길 12-8, 1층 일부호 (부개동) ", ,2025-07-11,2025-07-13 04:11:54,인천광역시 부평구 길주남로101번길 12-8/1층 (부개동)
일반음식점,한식,함바식당,인천광역시 강화군 선원면 중앙로 130 , ,2025-07-11,2025-07-13 04:11:44,인천광역시 강화군 선원면 중앙로 130
일반음식점,경양식,잭슨피자 송도 가로수길점,"인천광역시 연수구 신송로 168, 이든프라자 101호 (송도동) ",032-203-4483 ,2025-07-11,2025-07-13 04:11:27,인천광역시 연수구 신송로 168 이든프라자 101호 (송도동)
일반음식점,한식,엄마집밥,"인천광역시 서구 가람로 14, 인천표면처리센터 요진코아텍 129호 (오류동) ", ,2025-07-10,2025-07-12 04:11:29,인천광역시 서구 가람로 14 인천표면처리센터 요진코아텍 129호 (오류동)
일반음식점,김밥(도시락),행복도시락,"인천광역시 서구 원당대로301번길 2, 107호 (왕길동) ", ,2025-07-10,2025-07-12 04:11:29,인천광역시 서구 원당대로301번길 2/107호 (왕길동)
일반음식점,패밀리레스트랑,왓더버거 인천구월점,"인천광역시 남동구 예술로 126, 109호 (구월동) ", ,2025-07-10,2025-07-12 04:11:19,인천광역시 남동구 예술로 126/109호 (구월동)
일반음식점,기타,야미데이즈,"인천광역시 중구 월미로 33, 상상플랫폼 (북성동1가) ", ,2025-07-10,2025-07-12 04:11:16,인천광역시 중구 월미로 33 상상플랫폼 (북성동1가)
일반음식점,기타,개항백화,"인천광역시 중구 월미로 33, 상상플랫폼 (북성동1가) ", ,2025-07-10,2025-07-12 04:11:16,인천광역시 중구 월미로 33 상상플랫폼 (북성동1가)
일반음식점,한식,푸드파이터,"인천광역시 중구 자연대로 38, 영종하늘도시 트루엘 에디션 2층 210호 (중산동) ", ,2025-07-10,2025-07-12 04:11:16,인천광역시 중구 자연대로 38 영종하늘도시 트루엘 에디션 2층 210호 (중산동)
일반음식점,기타,꽁커피,"인천광역시 중구 월미로 33, 상상플랫폼 (북성동1가) ", ,2025-07-10,2025-07-12 04:11:16,인천광역시 중구 월미로 33 상상플랫폼 (북성동1가)
